"Missing X-Frame-Options HTTP header","If the 'X-Frame-Options' setting is not provided, a malicious user may be able to overlay their own UI on top of the site by using an iframe.","error","This server never sets the 'X-Frame-Options' HTTP header.","/VulnFinder-CodeQL-main/src/javascript-cwe/CWE-022/examples/TaintedPath.js","7","14","12","2"
"Missing X-Frame-Options HTTP header","If the 'X-Frame-Options' setting is not provided, a malicious user may be able to overlay their own UI on top of the site by using an iframe.","error","This server never sets the 'X-Frame-Options' HTTP header.","/VulnFinder-CodeQL-main/src/javascript-cwe/CWE-022/examples/TaintedPathGood.js","8","14","19","2"
"Missing X-Frame-Options HTTP header","If the 'X-Frame-Options' setting is not provided, a malicious user may be able to overlay their own UI on top of the site by using an iframe.","error","This server never sets the 'X-Frame-Options' HTTP header.","/VulnFinder-CodeQL-main/src/javascript-cwe/CWE-073/examples/TemplateObjectInjection.js","1","11","1","30"
"Missing X-Frame-Options HTTP header","If the 'X-Frame-Options' setting is not provided, a malicious user may be able to overlay their own UI on top of the site by using an iframe.","error","This server never sets the 'X-Frame-Options' HTTP header.","/VulnFinder-CodeQL-main/src/javascript-cwe/CWE-073/examples/TemplateObjectInjection.js","2","1","2","29"
"Missing X-Frame-Options HTTP header","If the 'X-Frame-Options' setting is not provided, a malicious user may be able to overlay their own UI on top of the site by using an iframe.","error","This server never sets the 'X-Frame-Options' HTTP header.","/VulnFinder-CodeQL-main/src/javascript-cwe/CWE-073/examples/TemplateObjectInjection_fixed.js","1","11","1","30"
"Missing X-Frame-Options HTTP header","If the 'X-Frame-Options' setting is not provided, a malicious user may be able to overlay their own UI on top of the site by using an iframe.","error","This server never sets the 'X-Frame-Options' HTTP header.","/VulnFinder-CodeQL-main/src/javascript-cwe/CWE-073/examples/TemplateObjectInjection_fixed.js","2","1","2","29"
"Missing X-Frame-Options HTTP header","If the 'X-Frame-Options' setting is not provided, a malicious user may be able to overlay their own UI on top of the site by using an iframe.","error","This server never sets the 'X-Frame-Options' HTTP header.","/VulnFinder-CodeQL-main/src/javascript-cwe/CWE-078/examples/command-injection.js","5","14","9","2"
"Missing X-Frame-Options HTTP header","If the 'X-Frame-Options' setting is not provided, a malicious user may be able to overlay their own UI on top of the site by using an iframe.","error","This server never sets the 'X-Frame-Options' HTTP header.","/VulnFinder-CodeQL-main/src/javascript-cwe/CWE-078/examples/command-injection_allowlist.js","5","14","12","2"
"Missing X-Frame-Options HTTP header","If the 'X-Frame-Options' setting is not provided, a malicious user may be able to overlay their own UI on top of the site by using an iframe.","error","This server never sets the 'X-Frame-Options' HTTP header.","/VulnFinder-CodeQL-main/src/javascript-cwe/CWE-078/examples/command-injection_fixed.js","5","14","9","2"
"Missing X-Frame-Options HTTP header","If the 'X-Frame-Options' setting is not provided, a malicious user may be able to overlay their own UI on top of the site by using an iframe.","error","This server never sets the 'X-Frame-Options' HTTP header.","/VulnFinder-CodeQL-main/src/javascript-cwe/CWE-078/examples/command-injection_shellquote.js","6","14","10","2"
"Missing X-Frame-Options HTTP header","If the 'X-Frame-Options' setting is not provided, a malicious user may be able to overlay their own UI on top of the site by using an iframe.","error","This server never sets the 'X-Frame-Options' HTTP header.","/VulnFinder-CodeQL-main/src/javascript-cwe/CWE-078/examples/second-order-command-injection-fixed.js","2","13","2","21"
"Missing X-Frame-Options HTTP header","If the 'X-Frame-Options' setting is not provided, a malicious user may be able to overlay their own UI on top of the site by using an iframe.","error","This server never sets the 'X-Frame-Options' HTTP header.","/VulnFinder-CodeQL-main/src/javascript-cwe/CWE-078/examples/second-order-command-injection.js","2","13","2","21"
"Missing X-Frame-Options HTTP header","If the 'X-Frame-Options' setting is not provided, a malicious user may be able to overlay their own UI on top of the site by using an iframe.","error","This server never sets the 'X-Frame-Options' HTTP header.","/VulnFinder-CodeQL-main/src/javascript-cwe/CWE-079/examples/ExceptionXssAjv.js","4","11","4","19"
"Missing X-Frame-Options HTTP header","If the 'X-Frame-Options' setting is not provided, a malicious user may be able to overlay their own UI on top of the site by using an iframe.","error","This server never sets the 'X-Frame-Options' HTTP header.","/VulnFinder-CodeQL-main/src/javascript-cwe/CWE-079/examples/ReflectedXss.js","1","11","1","30"
"Missing X-Frame-Options HTTP header","If the 'X-Frame-Options' setting is not provided, a malicious user may be able to overlay their own UI on top of the site by using an iframe.","error","This server never sets the 'X-Frame-Options' HTTP header.","/VulnFinder-CodeQL-main/src/javascript-cwe/CWE-079/examples/ReflectedXssGood.js","3","11","3","30"
